#	PDB ID	Name	Source	"Res
(Å)"
9	1M56	STRUCTURE OF CYTOCHROME C OXIDASE FROM RHODOBACTOR SPHAEROIDES (WILD TYPE)	RHODOBACTER SPHAEROIDES	2.3
9	1QLE	CRYO-STRUCTURE OF THE PARACOCCUS DENITRIFICANS FOUR-SUBUNIT CYTOCHROME C OXIDASE IN THE COMPLETELY OXIDIZED STATE COMPLEXED WITH AN ANTIBODY FV FRAGMENT	PARACOCCUS DENITRIFICANS	3
10	2DYR	BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE	BOS TAURUS	1.8
10	2GSM	CATALYTIC CORE (SUBUNITS I AND II) OF CYTOCHROME C OXIDASE FROM RHODOBACTER SPHAEROIDES	RHODOBACTER SPHAEROIDES	2
10	3HB3	HIGH RESOLUTION CRYSTAL STRUCTURE OF PARACOCCUS DENITRIFICANS CYTOCHROME C OXIDASE	PARACOCCUS DENITRIFICANS	2.25
11	3B44	CRYSTAL STRUCTURE OF GLPG W136A MUTANT	ESCHERICHIA COLI	1.7
11	2NR9	CRYSTAL STRUCTURE OF GLPG, RHOMBOID PEPTIDASE FROM HAEMOPHILUS INFLUENZAE	HAEMOPHILUS INFLUENZAE 86-028NP	2.2
12	2RH1	HIGH RESOLUTION CRYSTAL STRUCTURE OF HUMAN B2-ADRENERGIC G PROTEIN-COUPLED RECEPTOR.	HOMO SAPIENS, ENTEROBACTERIA PHAGE T4	2.4
12	2Z73	CRYSTAL STRUCTURE OF SQUID RHODOPSIN	TODARODES PACIFICUS	2.5
12	3KJ6	CRYSTAL STRUCTURE OF A METHYLATED BETA2 ADRENERGIC RECEPTOR- FAB COMPLEX	HOMO SAPIENS	3.4
12	2VT4	TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND CYANOPINDOLOL	MELEAGRIS GALLOPAVO	2.7
13	2CFQ	SUGAR FREE LACTOSE PERMEASE AT NEUTRAL PH	ESCHERICHIA COLI	2.95
13	1PW4	CRYSTAL STRUCTURE OF THE GLYCEROL-3-PHOSPHATE TRANSPORTER FROM E.COLI	ESCHERICHIA COLI	3.3
14	2J8S	DRUG EXPORT PATHWAY OF MULTIDRUG EXPORTER ACRB REVEALED BY DARPIN INHIBITORS	ESCHERICHIA COLI	2.54
14	2V50	THE MISSING PART OF THE BACTERIAL MEXAB-OPRM SYSTEM: STRUCTURAL DETERMINATION OF THE MULTIDRUG EXPORTER MEXB	PSEUDOMONAS AERUGINOSA PA01	3
15	3EAM	AN OPEN-PORE STRUCTURE OF A BACTERIAL PENTAMERIC LIGAND- GATED ION CHANNEL	GLOEOBACTER VIOLACEUS	2.9
15	2VL0	X-RAY STRUCTURE OF A PENTAMERIC LIGAND GATED ION CHANNEL FROM ERWINIA CHRYSANTHEMI (ELIC)	ERWINIA CHRYSANTHEMI	3.3
16	1JB0	CRYSTAL STRUCTURE OF PHOTOSYSTEM I: A PHOTOSYNTHETIC REACTION CENTER AND CORE ANTENNA SYSTEM FROM CYANOBACTERIA	SYNECHOCOCCUS ELONGATUS	2.5
16	2WSC	IMPROVED MODEL OF PLANT PHOTOSYSTEM I	PISUM SATIVUM	3.3
17	1RZH	PHOTOSYNTHETIC REACTION CENTER DOUBLE MUTANT FROM RHODOBACTER SPHAEROIDES WITH ASP L213 REPLACED WITH ASN AND ARG M233 REPLACED WITH CYS IN THE CHARGE-NEUTRAL DQAQB STATE (TRIGONAL FORM)	RHODOBACTER SPHAEROIDES	1.8
17	1RZH	PHOTOSYNTHETIC REACTION CENTER DOUBLE MUTANT FROM RHODOBACTER SPHAEROIDES WITH ASP L213 REPLACED WITH ASN AND ARG M233 REPLACED WITH CYS IN THE CHARGE-NEUTRAL DQAQB STATE (TRIGONAL FORM)	RHODOBACTER SPHAEROIDES	1.8
17	2WJN	LIPIDIC SPONGE PHASE CRYSTAL STRUCTURE OF PHOTOSYNTHETIC REACTION CENTRE FROM BLASTOCHLORIS VIRIDIS (HIGH DOSE)	RHODOPSEUDOMONAS VIRIDIS	1.86
17	2WJN	LIPIDIC SPONGE PHASE CRYSTAL STRUCTURE OF PHOTOSYNTHETIC REACTION CENTRE FROM BLASTOCHLORIS VIRIDIS (HIGH DOSE)	RHODOPSEUDOMONAS VIRIDIS	1.86
17	1EYS	CRYSTAL STRUCTURE OF PHOTOSYNTHETIC REACTION CENTER FROM A THERMOPHILIC BACTERIUM, THERMOCHROMATIUM TEPIDUM	THERMOCHROMATIUM TEPIDUM	2.2
17	1EYS	CRYSTAL STRUCTURE OF PHOTOSYNTHETIC REACTION CENTER FROM A THERMOPHILIC BACTERIUM, THERMOCHROMATIUM TEPIDUM	THERMOCHROMATIUM TEPIDUM	2.2
17	3BZ1	CRYSTAL STRUCTURE OF CYANOBACTERIAL PHOTOSYSTEM II (PART 1 OF 2). THIS FILE CONTAINS FIRST MONOMER OF PSII DIMER	THERMOSYNECHOCOCCUS ELONGATUS	2.9
17	3BZ1	CRYSTAL STRUCTURE OF CYANOBACTERIAL PHOTOSYSTEM II (PART 1 OF 2). THIS FILE CONTAINS FIRST MONOMER OF PSII DIMER	THERMOSYNECHOCOCCUS ELONGATUS	2.9
18	1RH5	THE STRUCTURE OF A PROTEIN CONDUCTING CHANNEL	METHANOCALDOCOCCUS JANNASCHII	3.2
18	2ZJS	CRYSTAL STRUCTURE OF SECYE TRANSLOCON FROM THERMUS THERMOPHILUS WITH A FAB FRAGMENT	THERMUS THERMOPHILUS	3.2
19	2H88	AVIAN MITOCHONDRIAL RESPIRATORY COMPLEX II AT 1.8 ANGSTROM RESOLUTION	GALLUS GALLUS	1.74
19	2H88	AVIAN MITOCHONDRIAL RESPIRATORY COMPLEX II AT 1.8 ANGSTROM RESOLUTION	GALLUS GALLUS	1.74
19	1ZOY	CRYSTAL STRUCTURE OF MITOCHONDRIAL RESPIRATORY COMPLEX II FROM PORCINE HEART AT 2.4 ANGSTROMS	SUS SCROFA	2.4
19	2WDQ	E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH CARBOXIN BOUND	ESCHERICHIA COLI	2.4
19	1ZOY	CRYSTAL STRUCTURE OF MITOCHONDRIAL RESPIRATORY COMPLEX II FROM PORCINE HEART AT 2.4 ANGSTROMS	SUS SCROFA	2.4
19	2WDQ	E. COLI SUCCINATE:QUINONE OXIDOREDUCTASE (SQR) WITH CARBOXIN BOUND	ESCHERICHIA COLI	2.4
19	1KF6	E. COLI QUINOL-FUMARATE REDUCTASE WITH BOUND INHIBITOR HQNO	ESCHERICHIA COLI	2.7
20	2A65	CRYSTAL STRUCTURE OF LEUTAA, A BACTERIAL HOMOLOG OF NA+/CL-- DEPENDENT NEUROTRANSMITTER TRANSPORTERS	AQUIFEX AEOLICUS VF5	1.65
20	3GIA	CRYSTAL STRUCTURE OF APCT TRANSPORTER	METHANOCALDOCOCCUS JANNASCHII	2.32
20	2JLN	STRUCTURE OF MHP1, A NUCLEOBASE-CATION-SYMPORT-1 FAMILY TRANSPORTER	MICROBACTERIUM LIQUEFACIENS	2.85
20	3L1L	STRUCTURE OF ARG-BOUND ESCHERICHIA COLI ADIC	ESCHERICHIA COLI	3
20	2WIT	CRYSTAL STRUCTURE OF THE SODIUM-COUPLED GLYCINE BETAINE SYMPORTER BETP FROM CORYNEBACTERIUM GLUTAMICUM WITH BOUND SUBSTRATE	CORYNEBACTERIUM GLUTAMICUM	3.35
21	1WPG	CRYSTAL STRUCTURE OF THE SR CA2+-ATPASE WITH MGF4	ORYCTOLAGUS CUNICULUS	2.3
21	2ZXE	CRYSTAL STRUCTURE OF THE SODIUM - POTASSIUM PUMP IN THE E2.2K+.PI STATE	SQUALUS ACANTHIAS	2.4
